src_ip,dest_ip,timestamp,src_port,dest_port,proto
200.51.43.5,192.168.1.242,2024-05-07T23:01:10.399208+0200,53,1129,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:10.400437+0200,53,3664,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:10.411903+0200,53,4006,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:10.413325+0200,53,1447,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:10.414907+0200,53,3975,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:10.543996+0200,53,1109,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:10.567661+0200,53,1703,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:10.569060+0200,53,3476,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:10.583538+0200,53,2532,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:10.640993+0200,53,3660,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:10.642383+0200,53,3658,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:10.643642+0200,53,1130,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:10.648143+0200,53,3659,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:10.684989+0200,53,3668,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:10.689171+0200,53,3664,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:10.713151+0200,53,1133,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:10.713121+0200,53,3665,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:10.714561+0200,53,3667,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:10.714575+0200,53,1025,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.930978+0200,53,3294,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.930971+0200,53,3662,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.931024+0200,53,3665,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:10.947215+0200,53,3663,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.021561+0200,53,3664,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.021529+0200,53,3670,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.021550+0200,53,3666,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.021580+0200,53,3009,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.021569+0200,53,3667,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.021584+0200,53,3663,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.038474+0200,53,3661,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.042395+0200,53,3663,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.043886+0200,53,3660,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:11.046625+0200,53,3664,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:11.058699+0200,53,3665,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:11.143869+0200,53,3985,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:11.145168+0200,53,1447,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:11.146480+0200,53,2566,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:11.171796+0200,53,3975,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:11.242658+0200,53,2530,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:11.245420+0200,53,3476,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:11.345323+0200,53,3659,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:11.350052+0200,53,3663,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:11.351190+0200,53,1130,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:11.379041+0200,53,3664,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:11.380403+0200,53,3669,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:11.383763+0200,53,3667,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:11.384855+0200,53,1025,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:11.484184+0200,53,3994,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:11.638945+0200,53,3661,UDP
